,review_10,review_9or10,review_scores_value,superhost,host_days,host_days,response_rate,host_listings_count,host_verifications,host_pic,id_verified,neighbourhood_cleansed,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,real_bed,amenities,price,sec_dep,cleaning_fee,extra_people,guests_included,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,business_travel_ready,cancellation_policy,lat,lon,galleries,rats
24,1,1,10,0,2255.0,2255.0,100,2.0,6,1,1,Greenpoint,Brooklyn,Guest suite,Entire home/apt,2,1.0,1.0,1.0,1,33,130,0.0,55.0,40,2,3,21,61,0,0,moderate,40.72642,-73.94574,4,3727
25,1,1,10,0,1596.0,1596.0,100,1.0,7,1,0,Midtown,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,10,105,0.0,25.0,0,1,1,14,171,1,0,flexible,40.7577,-73.9662,69,1100
26,0,0,8,0,927.0,927.0,98,28.0,8,1,1,Upper West Side,Manhattan,Apartment,Entire home/apt,7,2.0,2.0,2.0,1,39,300,0.0,200.0,0,1,30,1124,7,1,0,strict_14_with_grace_period,40.776,-73.98815,9,2761
27,0,1,9,0,847.0,847.0,90,3.0,6,1,0,Gramercy,Manhattan,Apartment,Private room,3,1.0,1.0,1.0,1,15,150,0.0,30.0,30,2,2,1125,75,1,0,strict_14_with_grace_period,40.73496,-73.98723,19,6868
28,0,0,8,0,847.0,847.0,90,2.0,6,1,0,Hell's Kitchen,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,23,125,250.0,100.0,25,1,7,1124,20,0,0,strict_14_with_grace_period,40.75707,-73.99802,12,642
29,1,1,10,1,1661.0,1661.0,100,1.0,6,1,1,East Village,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,18,185,0.0,125.0,0,1,1,20,20,1,0,strict_14_with_grace_period,40.72208,-73.97779,11,12384
30,1,1,10,1,846.0,846.0,94,1.0,8,1,0,Long Island City,Queens,Apartment,Entire home/apt,8,1.0,3.0,5.0,1,33,295,300.0,75.0,25,3,2,28,129,0,0,moderate,40.75905,-73.93203,1,1499
31,0,1,9,0,1124.0,1124.0,90,1.0,3,1,0,SoHo,Manhattan,Apartment,Private room,1,1.0,1.0,1.0,1,18,80,0.0,0.0,50,1,7,100,39,0,0,moderate,40.72443,-74.00141,68,3308
32,1,1,10,0,1371.0,1371.0,100,1.0,6,1,1,East Village,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,23,120,0.0,50.0,0,1,5,25,6,0,0,moderate,40.725,-73.97711,11,12384
33,1,1,10,1,924.0,924.0,100,3.0,6,1,0,Astoria,Queens,House,Private room,2,1.0,1.0,1.0,1,10,47,0.0,20.0,30,1,2,1125,115,1,0,strict_14_with_grace_period,40.76153,-73.92418,1,1499
34,1,1,10,0,2488.0,2488.0,100,1.0,4,1,0,Williamsburg,Brooklyn,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,13,215,100.0,0.0,0,1,3,7,5,1,0,flexible,40.71418,-73.94298,12,8434
